At frame 0, person 1 is located at coordinates [-21.95, 662.12] with a bounding box of width 112.44 and height 309.52.
 At frame 65, person 2 is located at coordinates [1650.25, 594.31] with a bounding box of width 82.53 and height 218.14.
 At frame 65, person 5 is located at coordinates [1524.94, 623.81] with a bounding box of width 72.34 and height 196.76.
 At frame 65, person 16 is located at coordinates [620.04, 695.69] with a bounding box of width 28.73 and height 73.66.
 At frame 65, person 19 is located at coordinates [196.35, 657.02] with a bounding box of width 49.85 and height 104.95.
 At frame 66, person 2 is located at coordinates [1662.21, 595.03] with a bounding box of width 82.62 and height 219.52.
 At frame 66, person 5 is located at coordinates [1534.70, 624.34] with a bounding box of width 70.12 and height 190.99.
 At frame 66, person 16 is located at coordinates [618.15, 696.82] with a bounding box of width 29.50 and height 75.53.
 At frame 66, person 19 is located at coordinates [192.88, 659.53] with a bounding box of width 49.18 and height 104.35.
 At frame 67, person 2 is located at coordinates [1673.13, 593.07] with a bounding box of width 87.66 and height 233.19.
 At frame 67, person 5 is located at coordinates [1543.48, 622.85] with a bounding box of width 72.43 and height 197.96.
 At frame 67, person 16 is located at coordinates [617.02, 697.52] with a bounding box of width 30.66 and height 78.54.
 At frame 67, person 19 is located at coordinates [189.05, 662.85] with a bounding box of width 48.01 and height 102.84.
 At frame 68, person 2 is located at coordinates [1685.57, 591.79] with a bounding box of width 85.02 and height 227.01.
 At frame 68, person 5 is located at coordinates [1553.77, 622.90] with a bounding box of width 73.84 and height 202.23.
 At frame 68, person 16 is located at coordinates [615.79, 699.22] with a bounding box of width 31.01 and height 79.68.
 At frame 68, person 19 is located at coordinates [184.83, 664.39] with a bounding box of width 48.47 and height 105.16.
 At frame 69, person 2 is located at coordinates [1697.34, 590.49] with a bounding box of width 86.48 and height 231.82.
 At frame 69, person 5 is located at coordinates [1563.68, 624.11] with a bounding box of width 71.07 and height 194.59.
 At frame 69, person 16 is located at coordinates [614.17, 701.30] with a bounding box of width 31.75 and height 81.83.
 

=====================================================

At frame 69, person 19 is located at coordinates [180.71, 666.10] with a bounding box of width 47.98 and height 105.40.
 At frame 69, person 18 is located at coordinates [636.90, 713.56] with a bounding box of width 29.00 and height 70.23.
 At frame 70, person 2 is located at coordinates [1708.97, 590.33] with a bounding box of width 86.99 and height 234.13.
 At frame 70, person 5 is located at coordinates [1573.50, 624.34] with a bounding box of width 71.20 and height 194.40.
 At frame 70, person 16 is located at coordinates [613.45, 702.66] with a bounding box of width 31.69 and height 82.06.
 At frame 70, person 19 is located at coordinates [176.96, 667.31] with a bounding box of width 47.77 and height 106.02.
 At frame 70, person 18 is located at coordinates [634.70, 712.19] with a bounding box of width 30.69 and height 74.47.
 At frame 71, person 2 is located at coordinates [1721.84, 588.02] with a bounding box of width 90.34 and height 241.83.
 At frame 71, person 5 is located at coordinates [1582.20, 625.03] with a bounding box of width 74.63 and height 204.24.
 At frame 71, person 16 is located at coordinates [612.95, 706.63] with a bounding box of width 31.01 and height 80.37.
 At frame 71, person 19 is located at coordinates [172.87, 668.61] with a bounding box of width 47.46 and height 106.79.
 At frame 71, person 18 is located at coordinates [634.54, 716.69] with a bounding box of width 29.53 and height 71.80.
 At frame 71, person 20 is located at coordinates [118.86, 653.24] with a bounding box of width 34.46 and height 79.76.
 At frame 72, person 2 is located at coordinates [1732.99, 586.02] with a bounding box of width 92.25 and height 247.54.
 At frame 72, person 5 is located at coordinates [1591.58, 626.16] with a bounding box of width 74.74 and height 205.01.
 At frame 72, person 16 is located at coordinates [611.59, 707.83] with a bounding box of width 31.38 and height 81.44.
 At frame 72, person 19 is located at coordinates [168.01, 669.65] with a bounding box of width 47.38 and height 108.20.
 At frame 72, person 18 is located at coordinates [633.19, 716.91] with a bounding box of width 29.94 and height 73.09.
 At frame 72, person 20 is located at coordinates [116.09, 653.91] with a bounding box of width 35.32 and height 81.91.
 At frame 73, person 2 is located at coordinates [1745.39, 584.72] with a bounding box of width 96.09 and height 255.38.
 At frame 73, person 5 is located at coordinates [1601.23, 627.21] with a bounding box of width 73.58 and height 201.74.
 At frame 73, person 16 is located at coordinates [610.48, 708.83] with a bounding box of width 31.60 and height 82.41.
 At frame 73, person 19 is located at coordinates [164.58, 671.18] with a bounding box of width 46.57 and height 107.54.
 At frame 73, person 18 is located at coordinates [633.04, 719.00] with a bounding box of width 29.44 and height 72.40.
 At frame 73, person 20 is located at coordinates [113.22, 652.12] with a bounding box of width 33.00 and height 76.58.
 At frame 74, person 2 is located at coordinates [1763.43, 605.11] with a bounding box of width 88.04 and height 233.18.
 At frame 74, person 5 is located at coordinates [1612.83, 627.04] with a bounding box of width 70.58 and height 193.36.
 At frame 74, person 16 is located at coordinates [609.70, 708.30] with a bounding box of width 31.87 and height 83.34.
 At frame 74, person 19 is located at coordinates [160.94, 671.13] with a bounding box of width 46.14 and height 107.24.
 At frame 74, person 18 is located at coordinates [632.23, 718.28] with a bounding box of width 29.64 and height 73.30.
 At frame 74, person 20 is located at coordinates [108.84, 651.85] with a bounding box of width 33.01 and height 76.79.
 At frame 75, person 2 is located at coordinates [1772.67, 613.47] with a bounding box of width 86.15 and height 228.04.
 At frame 75, person 5 is located at coordinates [1623.39, 624.90] with a bounding box of width 69.26 and height 189.51.
 At frame 75, person 16 is located at coordinates [608.55, 707.18] with a bounding box of width 32.00 and height 83.67.
 At frame 75, person 19 is located at coordinates [156.89, 669.03] with a bounding box of width 46.04 and height 107.67.
 At frame 75, person 18 is located at coordinates [631.69, 717.09] with a bounding box of width 29.63 and height 73.63.
 At frame 75, person 20 is located at coordinates [105.22, 652.10] with a bounding box of width 32.44 and height 75.60.
 At frame 76, person 5 is located at coordinates [1635.09, 623.24] with a bounding box of width 67.90 and height 185.71.
 At frame 76, person 16 is located at coordinates [606.92, 704.39] with a bounding box of width 32.15 and height 84.35.
 At frame 76, person 19 is located at coordinates [152.53, 665.86] with a bounding box of width 46.28 and height 108.39.
 At frame 76, person 18 is located at coordinates [630.30, 717.18] with a bounding box of width 28.56 and height 70.83.
 At frame 76, person 20 is located at coordinates [100.29, 648.09] with a bounding box of width 35.31 and height 82.86.
 At frame 77, person 5 is located at coordinates [1643.57, 620.25] with a bounding box of width 70.21 and height 193.22.
 At frame 77, person 16 is located at coordinates [605.30, 699.82] with a bounding box of width 32.51 and height 85.75.
 At frame 77, person 19 is located at coordinates [148.86, 662.01] with a bounding box of width 46.15 and height 108.63.
 At frame 77, person 18 is located at coordinates [629.18, 714.49] with a bounding box of width 28.78 and height 71.53.
 At frame 77, person 20 is located at coordinates [96.34, 645.84] with a bounding box of width 35.52 and height 83.54.
 At frame 78, person 5 is located at coordinates [1653.22, 615.69] with a bounding box of width 71.53 and height 197.71.
 At frame 78, person 16 is located at coordinates [604.04, 696.62] with a bounding box of width 32.27 and height 85.11.
 At frame 78, person 19 is located at coordinates [144.96, 655.28] with a bounding box of width 47.03 and height 111.62.
 

=====================================================

At frame 78, person 18 is located at coordinates [628.08, 712.90] with a bounding box of width 27.94 and height 69.44.
 At frame 78, person 20 is located at coordinates [92.12, 640.55] with a bounding box of width 35.94 and height 84.95.
 At frame 79, person 5 is located at coordinates [1662.58, 611.35] with a bounding box of width 70.43 and height 195.35.
 At frame 79, person 16 is located at coordinates [602.84, 692.76] with a bounding box of width 32.52 and height 85.41.
 At frame 79, person 19 is located at coordinates [140.52, 651.31] with a bounding box of width 47.31 and height 112.14.
 At frame 79, person 18 is located at coordinates [626.12, 708.11] with a bounding box of width 28.41 and height 70.43.
 At frame 79, person 20 is located at coordinates [87.64, 637.14] with a bounding box of width 36.13 and height 86.04.
 At frame 80, person 5 is located at coordinates [1672.32, 606.51] with a bounding box of width 70.93 and height 196.74.
 At frame 80, person 16 is located at coordinates [601.36, 688.11] with a bounding box of width 32.97 and height 86.67.
 At frame 80, person 19 is located at coordinates [136.47, 648.36] with a bounding box of width 46.88 and height 111.72.
 At frame 80, person 18 is located at coordinates [624.52, 702.54] with a bounding box of width 29.23 and height 72.56.
 At frame 80, person 20 is located at coordinates [83.14, 633.57] with a bounding box of width 36.55 and height 87.59.
 At frame 81, person 5 is located at coordinates [1682.17, 600.07] with a bounding box of width 68.60 and height 189.65.
 At frame 81, person 16 is located at coordinates [598.70, 685.22] with a bounding box of width 32.76 and height 86.55.
 At frame 81, person 19 is located at coordinates [132.62, 646.40] with a bounding box of width 46.68 and height 111.53.
 At frame 81, person 20 is located at coordinates [78.67, 631.72] with a bounding box of width 36.13 and height 86.98.
 At frame 81, person 7 is located at coordinates [619.28, 693.66] with a bounding box of width 33.27 and height 77.24.
 At frame 82, person 5 is located at coordinates [1690.27, 593.24] with a bounding box of width 71.11 and height 196.99.
 At frame 82, person 16 is located at coordinates [596.82, 680.66] with a bounding box of width 33.33 and height 88.23.
 At frame 82, person 19 is located at coordinates [126.99, 643.38] with a bounding box of width 47.05 and height 112.59.
 At frame 82, person 20 is located at coordinates [73.67, 629.93] with a bounding box of width 36.40 and height 87.87.
 At frame 82, person 22 is located at coordinates [361.44, 658.57] with a bounding box of width 30.37 and height 70.70.
